序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
1,基于Translate机制的交叉融合多模态情感分析模型,"冯勇, 申锦涛, 徐红艳, 王嵘冰, 刘婷婷, 张永刚","情感分析, 多模态, 模态转换, 特征融合, Translate","[目的]针对现有情感分析研究中多模态数据融合不充分且很少考虑模态间异构性的影响,从而导致情感分类准确率不高的问题,提出一种基于Translate机制的交叉融合多模态情感分析模型.[方法]首先通过Translate机制实现文本、图像和音频模态特征间的相互转换;然后将转换后的模态特征与目标模态特征进行融合(单模态融合),从而避免不同模态的异构性对模型性能的影响;最后使用交叉融合将不同模态特征充分交互,生成充分学习单模态信息的多模态特征,进而输入分类器中进行情感分类.[结果]在CMU-MOSI和CMU-MOSEI公开数据集上与当前主流情感分析模型进行对比实验.相较于次优模型,所提模型的准确率和F1值分别提升0.96和1.00个百分点.[局限]多模态数据中各模态对于情感分析的贡献度不同,模型没有特别考虑图像和音频模态贡献度高于文本模态的场景.[结论]所提模型充分融合了模态间信息,避免了模态间异构性的影响,能够有效提升模型整体性能.",10.11925/infotech.2096-3467.2024.0003,10-1478/G2,"辽宁大学, 吉林大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(3)",2096-3467,16-27,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",TP302(计算技术、计算机技术);G202(信息与传播理论)
2,一种技术演化路径识别方法:集成图嵌入和路径分析,"翟东升, 翟亮, 梁国强, 赵凯","图嵌入模型, 多维语义向量, 网络社区划分, 拓展方法, 技术衔接点","[目的]为充分挖掘特定领域的关键技术及分支,全面揭示其技术演化轨迹,提出一种集成图嵌入和路径分析的技术演化路径识别方法.[方法]开发无监督图嵌入模型,将专利结构关系、文本及节点信息传递、聚合的知识等特征,融合为多维语义向量,用于拓展技术路径的同时提升社区划分效果;从网络拓扑和语义关联视角,提出主路径及衍生路径的拓展方法,并构建技术衔接点测度指标,识别路径上具有发展潜力技术领域.[结果]在无人机飞行控制系统技术的实证中,识别出4个子领域的技术演化路径及分支,并发现该领域中模式识别技术、多处理器和数据融合技术具备良好的发展前景.[局限]暂未将技术演化模式的形成机制因素纳入识别框架中.[结论]集成图嵌入和路径分析的方法在路径拓展效果、应用普适性等方面具有一定优势.",10.11925/infotech.2096-3467.2023.1277,10-1478/G2,北京工业大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(2)",2096-3467,120-133,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",G353(科学、科学研究);G206(信息与传播理论)
3,大语言模型场景下个人数据定价研究——基于隐私补偿的方法,"刘晓慧, 陶成煦, 许葳, 吴江","数据要素, 数据交易, 个人数据, 数据定价, 隐私补偿, 大语言模型","[目的]为大语言模型场景下的个人数据定价提供一种量化隐私损失、补偿隐私价值的方法.[方法]基于前提假设,结合差分隐私,以方向统计学为基础,提出一种能够评估数据隐私值并量化数据价值的方法,进而利用SST-2数据集进行方法评估.[结果]在隐私参数与准确率、预算与准确率的关系方面,随着隐私参数的增加或预算的增加,模型准确率均会增加,证明了方法的有效性.[局限]数据集和模型架构的选择较为单一;在定价机制上仅考虑了隐私因素对价格的影响.[结论]所提方法能够评估数据的隐私值,并量化数据价值,为大语言模型下的个人数据定价提供支撑.",10.11925/infotech.2096-3467.2024.0972,10-1478/G2,"武汉大学, 武汉大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(3)",2096-3467,106-116,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",G203(信息与传播理论)
4,数字阅读中不同导航工具可解释性特征下的认知差异机理——一项眼动追踪研究,"陈静, 赵雨珂, 陆泉, 张璐","认知差异, 导航工具, 算法可解释性, 数字阅读, 眼动追踪","[目的]揭示导航工具的可解释性特征带来的用户认知差异机理.[方法]选择两种基于主题和基于目录的文本标记导航工具THC-DAT和BOOKMARK,利用眼动追踪技术,采用曼-惠特尼秩和检验,探析其不同主题覆盖度、导航准确度、语义可读性等可解释性特征给用户完成阅读任务带来的认知差异.[结果]导航工具可解释性特征重要程度因任务难度而异.在低难度任务中,导航准确性最影响认知效率、认知效果和优化导航辅助认知策略;在高难度任务中,语义可读性则最影响认知效率.[局限]研究样本数量有限,结构单一;仅在两种类型导航工具中进行认知差异对比.[结论]以可解释性特征为切入视角,为提升阅读导航工具的知识组织服务水平,进而优化用户阅读质量提供了新思路.",10.11925/infotech.2096-3467.2023.1393,10-1478/G2,"华中师范大学, 武汉大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(2)",2096-3467,134-145,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",G203(信息与传播理论)
5,基于动态专利嵌入表示的AI产业技术融合预测研究,"张晓黎, 匡衡","细粒度链路预测, 技术融合, 专利摘要, 文本嵌入, 动态图神经网络","[目的]提出文本嵌入动态图神经网络的链路预测方法,旨在对人工智能领域技术创新的融合趋势进行建模与预测,揭示潜在的技术关联和创新路径.[方法]将专利摘要文本融入动态图神经网络的节点特征表示中,借助动态图神经网络的学习能力得到更准确的链路预测结果.[结果]以国内AI领域为例进行验证,相较于相似度模型和传统图表示学习模型,本文方法的AUC提升约0.06.[局限]由于嵌入维度过大,难以与图神经网络融合,专利摘要文本嵌入时未使用大语言模型.[结论]该方法预测准确度高,增强了对未来AI领域专利融合预测的可信度,是开展细粒度链路预测的一种有效方法.",10.11925/infotech.2096-3467.2023.1150,10-1478/G2,上海对外经贸大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(3)",2096-3467,96-105,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",TP391(计算技术、计算机技术);G202(信息与传播理论)
6,融合微博多维特征和用户动态兴趣的主题推荐研究,"庞庆华, 徐珣, 张丽娜","微博主题, 主题推荐, 用户动态兴趣, 时间衰减函数, 多维特征","[目的]为解决微博主题推荐中存在的单一性和缺乏新颖性的问题,提出一种更加全面的主题推荐模型,以满足用户个性化需求.[方法]首先利用LDA模型挖掘用户历史微博主题,构建微博-主题矩阵和用户-主题矩阵;其次从微博的互动、属性和频次维度综合衡量,形成用户对微博主题的多维度评价,同时模拟用户兴趣的遗忘和衰减过程,构建用户动态兴趣模型,并得到用户的邻居集;最后通过混合推荐,形成用户对主题的最终评价,为用户进行主题推荐.[结果]通过真实数据集进行消融实验,本文提出的主题推荐模型在F1值、覆盖率、新颖度方面的综合评价均高于单一模型.[局限]仅从微博文本内容进行主题挖掘,未结合用户评论等信息.[结论]本文模型在保证准确率的同时,可以为用户提供更多样、新颖的微博推荐内容.",10.11925/infotech.2096-3467.2023.1076,10-1478/G2,河海大学," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(1)",2096-3467,110-120,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",TP391(计算技术、计算机技术);G203(信息与传播理论)
7,自我决定理论视角下技能众包服务商参与动机研究:基于平台数据的实证分析,"王筱纶, 姚倩, 林佳慧, 赵宇翔, 孙志豪, 林欣澜","技能众包平台, 自我决定理论, 服务商, 参与动机, 机器学习","[目的]基于自我决定理论,通过挖掘平台数据探究技能众包平台中服务商参与任务动机.[方法]从一品威客网采集15 641条标书及2 385位服务商数据,针对文本特征选取TF-IDF模型和BERT机器学习算法计算动机变量,并考虑因变量为计数变量,构建负二项回归模型.[结果]服务商参与技能众包动机与行为在1％的水平上显著相关(R2=23.1％),任务难度能提升模型解释能力,负向调节胜任能力和声望信誉(p＜0.05),正向调节社交认可(p＜0.01).[局限]一家平台的代表性有限,未来可采集多家平台数据进行对比验证;平台数据可能存在外生变量(如平台博弈、政策环境)的干扰,未来可考虑上述因素,深化研究结论.[结论]本研究能够拓宽服务商参与众包任务的理论基础,对于服务商、买方和平台均具有实践启示.",10.11925/infotech.2096-3467.2024.0098,10-1478/G2,"南京航空航天大学, 北京航空航天大学, 南京大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(1)",2096-3467,55-64,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",G203(信息与传播理论)
8,基于学术知识图谱与有偏随机游走的论文推荐研究,"李慧, 崔子贤, 王玙","论文推荐, 学术知识图谱, 有偏随机游走, 研究兴趣","[目的]针对难以准确捕捉学者研究兴趣的问题,提出一种融合论文内容与引用特征的学者研究兴趣发现方法,并据此构建基于学术知识图谱与随机游走算法的论文推荐模型.[方法]使用预训练文本嵌入模型与引文网络学习已发表论文的向量表示,基于相似性理论挖掘学者研究兴趣;运用知识图谱嵌入、有偏随机游走与注意力机制等深度学习技术计算学者对论文感兴趣的概率,最后生成论文推荐列表.[结果]在DBLPv14数据集上的实验结果表明,所提模型相较于基线模型在F1值与MRR指标上最多分别提升0.041和0.031,各指标结果总体优于基线模型.[局限]所提模型未考虑到实体和关系上的属性对推荐性能的影响.[结论]所提模型考虑了论文内容与引用特征,能够有效反映学者的研究兴趣,提高论文推荐准确性.",10.11925/infotech.2096-3467.2024.0441,10-1478/G2,西安电子科技大学经济与管理学院 西安 710119," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(5)",2096-3467,114-124,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",TP391(计算技术、计算机技术);G203(信息与传播理论)
9,基于ID特征的深度交互与自注意力融合推荐模型,"李冰, 王曦乐, 候玉琪, 杨彪, 董江涛","ID特征, 特征交互, 注意力机制, 推荐模型","[目的]充分挖掘ID特征中蕴含的深层信息,提出一种基于ID特征的深度交互与自注意力融合推荐模型DFM-ID.[方法]提出一个ID特征深度学习框架,设计三种特征交互层与基于自注意力机制的融合模块,对ID特征进行低阶与高阶交互,并基于自注意力生成ID深层特征.[结果]在三个公开数据集上进行实验,结果表明集成DFM-ID的模型在准确率、精确率、AUC和F1值评估指标上相较于基线模型,分别增长了16.03％、14.10％、20.97％和8.68％.[局限]实验数据同质性较高,模型在一定程度上泛化能力不足.[结论]所提模型能充分利用ID特征间的复杂关联和深层信息,有效提升推荐准确性.",10.11925/infotech.2096-3467.2024.0444,10-1478/G2,"江西师范大学, 江西师范大学"," 数据分析与知识发现,Data Analysis and Knowledge Discovery,2025,9(5)",2096-3467,90-103,"CSTPCD, 北大核心, CSSCI, EI, CSCD, AMI",G203(信息与传播理论);TP391(计算技术、计算机技术)
10,基于公众感知危机情境的政府信息设计赋能效果研究,"范斯诺, 宋津卉, 李月琳","重大突发事件, 政府信息公开, 政府信息设计, 解释水平理论, 危机沟通","在突发危机事件情境下,健全的政府信息公开与发布机制是有效应对危机的重要条件.政府应通过恰当的信息设计,提升政府信息在不同危机情境下的赋能效果.为探讨在不同感知危机情境下,政府如何通过情感/告知型信息设计提升赋能效果,本研究基于解释水平理论和赋能理论,构建了公众感知危机情境与政府信息设计的赋能效果理论模型,并采用结构方程模型和模糊集定性比较分析法对241份有效问卷进行分析与验证.本研究发现,公众对危机的心理距离感知正向影响认知赋能和情感赋能.情感型信息设计能显著提升公众的感知赋能,但信息设计在心理距离与感知赋能之间的中介效应未被支持.感知严重性以及悲伤、害怕、憎恨、同情和焦虑等情绪对心理距离影响感知赋能的路径存在不同程度的调节作用.组态分析揭示,感知危机情境、公众心理状态及其与信息设计的组合影响政府信息公开设计的赋能效果.信息设计可通过以情感激发为主的赋能路径、以理性告知为主的赋能路径和情感理性综合赋能的路径提高政府信息公开的赋能效果,以上路径分别适用于不同类型的感知危机情境与公众心理状态.本研究从非正式信息渠道、客观危机情境、感知危机情境与公众心理状态组合类型3个角度讨论以上研究发现,揭示了危机情境下政府信息公开赋能机制的复杂性,可为政府信息公开与传播策略提供实践参考.",10.3772/j.issn.1000-0135.2026.01.008,11-2257/G3,"南开大学信息与传播学院信息资源管理系, 南开大学信息与传播学院信息资源管理系"," 情报学报,Journal of the China Society for Scientific andTechnical Information,2026,45(1)",1000-0135,116-130,"CSTPCD, 北大核心, CSSCI, CSCD, AMI",G206(信息与传播理论);D630.1(国家行政管理);F270(企业经济)
